Date,entireTweets,
2020-04-18 4:27:04,@CallofDuty DEVUELVAN EL SAQUEO EN CUARTETOOOOOOO,
2020-04-18 4:18:26,"@Gu5an1ta @SantoroLeandro @C5N Si. Te cuento.Son 21 tipos de bonos en moneda extranjera y de  u$s 66.000M aprox que se negocian, u$s 42.000M son de tomados x el contrabandista en los 4 años del saqueo. Saludos",
2020-04-18 4:03:30,@SilMercado @camara8000 Saqueo,
2020-04-18 4:00:02,"Re quemada me pusieron de a dúos el modo saqueo, de a tríos estaba bien @CallofDuty 😢",
2020-04-18 3:42:31,@nocorruptsuru @Indiogorugua Los globalistas vieron en la comunista China La posibilidad de hacer todo lo que quieran con el mundo Trump apareció Y les patio el tablero Demostrando al mundo que los TLC a tapa cerrada no sirven Ya que es saqueo Y producción sin ningún tipo de restricciones,
2020-04-18 2:29:14,"@fer_andres_lope @eduardodeamaya @FiscalHonorario @Estabocaesmia12 Tambien lo creo, y bancaron a su cúpula y hasta a amigos del foro...Nunca se vio nada igual, fue realmente un saqueo continuo.",
2020-04-18 2:16:41,@Lupo55 Pero se puede decir saqueo o no ? #cyberpatrullamelachota,
2020-04-18 2:13:22,"entre una cita de marx, otra de baumann y otra del inefable casullo, ¿Casullo?, nos cuenten que el bofe entrerriano es la versión pop del dinar húngaro.No @SabinaFrederic dice que eso no entra en ciber botonaje.Saqueo.",
2020-04-18 1:59:05,"@mis2centavos Mirale el lado positivo, no podes escribir la palabra saqueo😬",
2020-04-18 1:48:44,“El Cesar agradece a Alarico por el envío de bayas silvestres tras el saqueo de Roma” https://t.co/UjE2DM09TO,
2020-04-18 1:30:11,@rocicler @sinae_oficial Otra:“El Cesar agradece a Alarico por el envío de bayas silvestres tras el saqueo de Roma”,
2020-04-18 1:22:21,como van a sacar el saqueo de a 4 en el cod bardosss,
2020-04-18 1:09:24,"@Activision es pesima su ultima actualizacion de warzone, haber sacado el modo saqueo en cuartea fue una pesima decision . Lamentable. Estaban yendo en buen camino",
2020-04-18 0:43:24,"@rosembba @fannydiazcampos @omarmonzon69 @Aerolineas_AR @MaritimaMARUBA Si te da vergüenza, podes no utilizar todos los servicios que están subsidiados. El dólar oficial “atrasado”, ósea subsidiado, tampoco lo compres.  Y no hay ningún saqueo en AR, es más no utilices AR, utiliza otra aerolínea.",
2020-04-18 0:28:31,RT @FrankZappa_: Sale un Pibe y tuitea saqueo y le mandan a la ciberpatrulla.Hebe incita a quemar campos y a arrebatar medios de comunic…,
2020-04-18 0:20:42,"Es lógico, que en un momento tan extremo como el que está atravesando mí país,1) el estado de la economía, producto del saqueo macrista y 2) la epidemia del COVID19, que los bonistas nacionales sean despojados de esos bonos que nos perjudican tanto en éste momento.Otra no hay",
2020-04-17 23:57:12,extraño llegar re skabio y saquear la heladera de mi casa xq ahora la saqueo cada 5 min :((,
2020-04-17 23:57:05,Esto es un #Saqueo ? https://t.co/QqsrSEwc9X,
2020-04-17 23:32:31,@Andres84752889 Impotencia. Saqueo.,
2020-04-17 22:44:44,@CoDInfoES_ Por qué sacaron saqueo en squad? Son tontos?,
2020-04-17 22:36:12,"RT @MovimientoSepa: El próximo tractorazo habría que hacerlo en Castelli (PBA), cuyo intendente K no conforme con el saqueo del 70% (en el…",
2020-04-17 22:27:50,"@BraianV12 @luisvolo @rinconet Lo consideran una apologia al saqueo, ya que puede ser una posibilidad inminente. No sé si lo van a querellar pero hicieron una tempestad...",
2020-04-17 22:23:39,RT @RafaelGarzaniti: #MMDefaulteadorSerial#TropaDeTodos durante el saqueo PROCAMBIEMOS arrasaron! ahora PAGAR IMPUESTO DE RIQUEZAS y NADA…,
2020-04-17 22:08:09,RT @MovimientoSepa: ¿Estamos de acuerdo con que estamos experimentando el peor gobierno de la historia? #Saqueo,
2020-04-17 21:17:45,"RT @aletorto: La restricción de circulación a mayores de 70, como la amenaza de cárcel a un zapallo que escribió saqueo en Twitter, son e…",
2020-04-17 21:03:31,#MMDefaulteadorSerial#TropaDeTodos durante el saqueo PROCAMBIEMOS arrasaron! ahora PAGAR IMPUESTO DE RIQUEZAS y NADA de DESPIDOS p.ROCCA socio maffia de MACRI que ya debe pagar lo que debe! NUNCA olvidaremos el ROBO BRUTAL al PUEBLO proGENOCIDAS golpistas https://t.co/huR8xexzE7,
2020-04-17 20:54:55,RT @1Lucifernandess: Pero la policía busca al boludo que tiró un tuit sobre un saqueo y no se ocupa de las cosas importantes como estas,
2020-04-17 20:39:36,"RT @ulichaparro12: Están vendiendo deuda de ANSES para frenar la escalada del dólar. Es decir, el gobierno de Alberto Fernández está sacánd…",
2020-04-17 20:17:39,"La restricción de circulación a mayores de 70, como la amenaza de cárcel a un zapallo que escribió saqueo en Twitter, son el camino equivocado. La solución a nuestros problemas no pasa por vulnerar derechos.",
2020-04-17 20:17:05,Pinta saqueo compa? unides,
2020-04-17 20:16:18,"@ansesgob TODAS LAS VIAS DE COMUNICACION CERRADAS.No atiende 130, FaceBook, email, nada.Me negaron IFE por no tener 2 años de residencia en el país, siendo que llevo 45 años viviendo en esta PATRIA. Días intentando comunicar para corregir error y nada.Capaz con #Saqueo me atienden!!! https://t.co/BdoFTaVhrQ",
2020-04-17 19:45:50,"""Che, que onda los que no cobramos el bono de 10.000 pesos. Sigue en pie lo del saqueo, no?”, tweet de Kevin x el cual Alberto le inició una causa y puede ser condenado a 6 años d prisión. Q la pandemia no sea una excusa para violar el estado d derecho y la libertad de expresión.",
2020-04-17 19:08:54,"Mis Pelotudos Favoritos d Día Nuevamente (aunq lamentable) son esos genios q no satisfechos c haber votado esta Banda Mafiosa, ni c haber sufrido saqueo a Nonos, ni c sufrir la Hiper, la discriminación, la estafa solidaria y vs mierditas más, siguen defendiendo a estos Crápulas",
2020-04-17 19:08:50,"Es indignante que esta gente esté libre después del saqueo via deuda, devaluaciones con info privilegiada y bicicleta con las lebacs y leliqs.Si no caen en prisión, olvidé de de mí voto para siempre. Pasaré a engrosar las filas de los apolíticos. https://t.co/hSOAl9B861 https://t.co/gVg8mKS3UQ",
2020-04-17 19:06:47,RT @DRAGONDEOLIVOS: @Sandra79175387 @marioraulnegri Disculpe pero le recuerdo que hasta que llegó el esposo de la señora que ud. Tiene en s…,
2020-04-17 19:02:51,RT @aleberco: La policía sacada amenazando a los colegas de @canal26noticias por hacer su trabajo y un pibe de 21 con una causa penal y pos…,
2020-04-17 18:54:44,RT @linabizcarra: Hermana cuando tengas miedo porque tú agresor está por golpearte grita que rompió la cuarentena o que tuiteó saqueo. Lleg…,
2020-04-17 18:34:16,Nos dan permiso ?? Y si ponemos sexo sin saqueo que nos va a pasar ?? https://t.co/UIdamwXz9X,
2020-04-17 18:31:45,"@AdrianDanielFer @SilMercado Decir saqueo no es alentar saqueos. Y mandar a una mujer a la cola de la feria es de un machismo ofensivo. Silvia Mercado es periodista, yo soy abogada, pero la señora que hace la cola es tan respetable como nosotras.",
2020-04-17 18:31:34,RT @TimyGonza05: Por qué sacan el modo cuarteto en saqueo la concha de sus madressss @CoDInfoES_ @CallofDuty,
2020-04-17 18:30:22,Mi hermano se encontro la llave de un kiosco puesta... pinta saqueo? A así no era jajajajajaja 🤣🤦🏽‍♀️,
2020-04-17 18:10:28,"RT @rodosanchez_ar: Para vos cyberpatrullaje: ""La deuda es un saqueo"". Preocúpate mejor por esta apropiación ilícita.",
2020-04-17 18:05:41,@Verdeyrojo6 @Lunatica2020 @Frente_Amplio No tan loco Diego .Denunciando parte del saqueo que hicimos. Soy consciente que me paso de lírico. Todo tomado y en contra de: el neoliberalismo ( ultra derecha incluida),
2020-04-17 17:51:30,"RT @sergiopinus: @tunykollmann @casper_sl Voy... Larreta es tan o más culpable del saqueo y cuasi genocidio macrista, que el mismísimo Macr…",
2020-04-17 17:47:40,"@MMGustavo22 @dzapatillas Con la justicia genuflexa, te recuerdo que es la misma justicia que avalo el saqueo de la pesificación.Millones creían que la tierra era plana, pero el que tenia razón era Galileo",
2020-04-17 17:26:19,Por qué sacan el modo cuarteto en saqueo la concha de sus madressss @CoDInfoES_ @CallofDuty,
2020-04-17 17:05:36,@mis2centavos @PFAOficial Saqueo que bien ahí está la casa y no se si es el sábado y si te van hacer un rato y te vas de vuelta y te venís bien a la tarde y no me vas al baño ni a la tarde ni te copas nada más bien si te lo paso mal o que sea el día. (????),
2020-04-17 17:04:45,RT @aleberco: #ParaMíEsChamuyo que si tuiteás saqueo te mandan la ciberpatrulla. (Saqueo saqueo saqueo saqueo saqueo saqueo saqueo) https…,
2020-04-17 16:56:30,#ParaMíEsChamuyo que si tuiteás saqueo te mandan la ciberpatrulla. (Saqueo saqueo saqueo saqueo saqueo saqueo saqueo) https://t.co/ENQk33uAyo,
